volatility,return,sharpe_ratio
0.13109372251168872,0.09022071924211919,0.41360271264922477
0.11031501100672192,0.08113078368136195,0.40910827338458916
0.11988444980638292,0.06822883122122962,0.268832457197578
0.09674701429197287,0.06552566445245638,0.30518424437730823
0.13120331406866526,0.08398230058273415,0.36570951673997054
0.09262725533208005,0.06829729284025071,0.34868023158476374
0.1640119786265293,0.09455114840530145,0.3569931226708015
0.1057522219562457,0.06848115501173777,0.3071439484758688
0.12812785663710166,0.07898413328641946,0.3354784386049946
0.09981366330320568,0.06530960821949358,0.2936432473223559
0.09635263619566731,0.0887529211542514,0.5474984726637251
0.13592275757121372,0.08145715231065805,0.3344337116383309
0.10635228792604892,0.07151060668979546,0.33389602971670373
0.1078492389485186,0.07472722569849344,0.3590866850435516
0.10317156894359042,0.05823736904410569,0.21553776172837003
0.11565808337173936,0.09009231353508936,0.4676915954177624
0.11699832998310099,0.10060460362674187,0.5521839810540307
0.10281812195070018,0.06930551886929874,0.3239265436619068
0.11956501415737096,0.08511866923296467,0.4108113864170575
0.1010113433536945,0.07018747231861047,0.3384518132671687
0.10683268903526001,0.06815220370371916,0.30095847997523834
0.11744441038405695,0.069752110609173,0.28738796932778365
0.0930876062482462,0.07696103924285268,0.4400267757838536
0.10042169312621517,0.05892111509187148,0.22824864208436557
0.12787736148249873,0.08733255336820828,0.40142017924911316
0.13923837659347688,0.0850263056810911,0.35210339908105415
0.10897059762121264,0.08265984894905323,0.42818751082971257
0.09828307863911265,0.07900303803787417,0.43754264348777455
0.1368997346813483,0.07439135047073392,0.2804340750556947
0.1473057248798867,0.08076889328548428,0.30391821717715933
0.10984369757284936,0.07490699531067357,0.35420325581146883
0.13486272057741666,0.08800009941596881,0.38557800994470265
0.1178230525956025,0.08720249178612813,0.4345710848442163
0.10528576628324347,0.06955769402814986,0.31872963661461867
0.10073244810237303,0.06769335652769645,0.3146290706196967
0.11699230356661913,0.0808619988063262,0.3834611118737427
0.12976319494098332,0.08716684993405747,0.3943094184551198
0.12042190810861761,0.0826354716262937,0.38726733663968893
0.10052692433628271,0.07153212735897765,0.35345881308489624
0.12349719559722719,0.08805600898763706,0.42151571730755844
0.0930342321620844,0.07189821373824215,0.38586026781733657
0.11184479310207272,0.0738902576236787,0.33877533833067214
0.10262919954063449,0.08123937841456444,0.44080416311395465
0.10684931114927028,0.07804713272566138,0.39351805148206187
0.11218558823461239,0.08303915413813961,0.4192976555934011
0.12429022728955556,0.07741295816097565,0.33319561050038965
0.12286059730899702,0.08635261190035168,0.40983531745099516
0.09984437513721804,0.0688821042878272,0.3293335677912421
0.1406182954155939,0.09557041175993428,0.4236320144820089
