decision_date,decision_month,holding_month,current_regime,prediction_current_regime,regime_match,actual_next_regime,hmm_seed,hmm_score,current_raw_state,Bull_count,Neutral_count,Crisis_count,raw_state_mean_return,raw_state_mean_vol,p_Bull,p_Neutral,p_Crisis,equal_weight_return,static_mv_return,reactive_hmm_return,macro_forward_return,equal_weight_turnover,static_mv_turnover,reactive_hmm_turnover,macro_forward_turnover,reactive_fallback,macro_fallback,macro_used_probability,weight_equal_EFA,weight_equal_GLD,weight_equal_SPY,weight_equal_TLT,weight_equal_VNQ,weight_static_EFA,weight_static_GLD,weight_static_SPY,weight_static_TLT,weight_static_VNQ,weight_reactive_EFA,weight_reactive_GLD,weight_reactive_SPY,weight_reactive_TLT,weight_reactive_VNQ,weight_macro_EFA,weight_macro_GLD,weight_macro_SPY,weight_macro_TLT,weight_macro_VNQ
2019-03-29,2019-03-31,2019-04-30,Neutral,Neutral,True,Bull,42,-3970.2394562936333,1,678,933,694,0.0005048427258191642,0.007253819796624303,0.375,0.6,0.025,0.008397042908894158,0.011980409377717723,0.023123255212533785,0.0262377957491397,0.0,0.012661251216609118,0.10988679906780155,0.04730037636371728,False,False,1.0,0.2,0.2,0.2,0.2,0.2,4.669072897028755e-16,0.0,0.5248447713459808,0.47515522865401866,0.0,0.0,3.4233571019796636e-16,0.6894694869826496,0.24825156661195058,0.0622789464053995,0.0,0.0,0.7594824816095723,0.24051751839042756,0.0
2019-04-30,2019-04-30,2019-05-31,Bull,Bull,True,Neutral,42,-3996.5322235111507,0,683,945,698,0.0008281751034273009,0.0044483432526583894,0.3666666666666666,0.4666666666666667,0.1666666666666666,-0.005350151976951789,-0.001757421110364872,-0.04827873344862985,-0.014753583341372199,0.0,0.011872436360909244,0.44574538264033203,0.2607358155890602,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,2.7624371617145573e-16,1.5370816333524676e-16,0.5307809895264354,0.4692190104735643,0.0,9.357997875706999e-16,0.048033947756228955,0.864308230546586,0.0876578216971818,2.1942517090547484e-15,0.0,0.0,0.6291145738150423,0.3708854261849578,0.0
2019-05-31,2019-05-31,2019-06-30,Neutral,Neutral,True,Neutral,42,-4052.194263684509,1,691,967,690,0.00042140893512362,0.007281521910659403,0.3902439024390244,0.5853658536585366,0.024390243902439,0.04675529550486051,0.0405186132482993,0.04818320631700157,0.0534456197495783,0.0,0.02911739396610852,0.5518916914511595,0.2045041397027575,False,False,1.0,0.2,0.2,0.2,0.2,0.2,1.0763793433261365e-16,0.0,0.5162222925433815,0.4837777074566185,6.864785827576353e-17,4.838032379121346e-16,5.300131394775796e-16,0.6363963325772353,0.2901301546082684,0.07347351281449536,9.225528252132522e-16,9.01426576606506e-16,0.7313666436664186,0.26863335633357904,6.719989461487851e-16
2019-06-28,2019-06-30,2019-07-31,Neutral,Neutral,True,Bull,42,-4100.972966999372,1,697,974,697,0.00048125598982520003,0.007301666626628204,0.3809523809523809,0.5952380952380952,0.0238095238095238,0.003066746995883163,0.009093614094629261,0.01142859136219791,0.011753356411450781,0.0,0.007614129349435181,0.1469470256289921,0.0010339339125743244,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,0.0,5.5291176554810497e-17,0.5200293572180988,0.47997064278190094,1.3605545652208712e-16,0.0,2.581799300158341e-16,0.7060153689489788,0.2939846310510209,0.0,3.6477188090979004e-16,9.321293010530247e-16,0.7318836106227057,0.2681163893772927,3.8427504467050223e-16
2019-07-31,2019-07-31,2019-08-31,Bull,Bull,True,Crisis,42,-4037.193354508299,1,1216,767,407,0.0006721027285114076,0.005246967189387342,0.3548387096774194,0.4838709677419355,0.1612903225806451,0.038218688293392214,0.044175558035352475,-0.002840659092613579,0.04775471156822991,0.0,0.0023565296260033273,0.36943691708758997,0.4826233103274988,False,False,1.0,0.2,0.2,0.2,0.2,0.2,1.5506049464529016e-16,0.0,0.5212076220311004,0.4787923779688994,1.7411373255325566e-16,0.0,4.4050251026679246e-17,0.8907338274927737,0.10926617250722616,0.0,0.0,2.4116894076124586e-17,0.49057195545895754,0.5050634720912535,0.00436457244978901
2019-08-30,2019-08-31,2019-09-30,Crisis,Crisis,True,Neutral,42,-4086.2924273251256,2,1220,772,420,-0.00027571256642602415,0.015942947345117118,0.2307692307692307,0.2307692307692307,0.5384615384615384,0.001924406888567165,-0.0033727072583484507,-0.01584044139897252,-0.011717525153700909,0.0,0.029534588870859437,1.6824553513853584,0.4987067362772586,False,False,0.9999999999999998,0.2,0.2,0.2,0.2,0.2,3.838829940891438e-16,0.0,0.5064403275956708,0.49355967240432896,1.0233483798765335e-16,0.0,0.1188586490940317,0.049506151800094586,0.6250334593117356,0.20660173979413815,3.2814404958544773e-17,0.06743552197915274,0.24121858732032825,0.5957201626420882,0.09562572805843088
2019-09-30,2019-09-30,2019-10-31,Neutral,Neutral,True,Bull,42,-4131.398417650091,0,773,1226,433,0.0006530776304046471,0.005252761690879045,0.3953488372093023,0.5813953488372093,0.0232558139534883,0.01635170770171093,0.005907265897587017,0.01770212656109114,0.010075381963329211,0.0,0.012457853205113114,1.6360695193876669,0.7937133269194944,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,1.3908154888127772e-16,5.749337418037492e-19,0.5126692541982272,0.48733074580177255,1.9037353316663342e-16,1.023704138392345e-15,3.60924489131327e-17,0.867540911493927,0.13245908850607133,6.097391953608822e-16,0.0,0.0,0.6380752507800754,0.36192474921992457,0.0
2019-10-31,2019-10-31,2019-11-30,Bull,Bull,True,Neutral,42,-4183.546606964154,0,799,1223,433,0.0007070815411575825,0.009073553317035566,0.34375,0.46875,0.1875,-0.0003458241226565354,0.016699328492951283,0.0098619547358556,0.016405517193311053,0.0,0.0062166683037725035,0.9734326239064013,0.25918769097838273,False,False,1.0,0.2,0.2,0.2,0.2,0.2,0.0,2.03452189121951e-17,0.5157775883501134,0.48422241164988666,0.0,0.0,0.0,0.3808245995407274,0.46283315289754884,0.15634224756172366,2.9366631282592224e-16,1.1771397319096415e-16,0.5084814052908841,0.4915185947091155,3.4820582444813705e-17
2019-11-29,2019-11-30,2019-12-31,Neutral,Neutral,True,Neutral,42,-4216.074668938685,2,797,1245,433,0.0006506889477064287,0.00522743245105708,0.4090909090909091,0.5681818181818182,0.0227272727272727,0.014256565581510406,-0.00026005228952788277,0.02048554307273347,0.0072106112835223345,0.0,0.007771673900021515,0.9575165676579698,0.26717975813384903,False,False,1.0,0.2,0.2,0.2,0.2,0.2,4.0229324750235444e-16,0.0,0.5196634253001238,0.4803365746998759,0.0,0.0,3.3719279707738172e-16,0.859582883369712,0.14041711663028766,0.0,2.124477497107965e-17,3.092701736676983e-16,0.6420712843578085,0.3579287156421913,0.0
2019-12-31,2019-12-31,2020-01-31,Neutral,Neutral,True,Bull,42,-4238.274912690349,1,798,1265,433,0.0006602665007556044,0.005216493852444095,0.4,0.5777777777777777,0.0222222222222222,0.021112902598120088,0.03620686972448174,0.00938284113075,0.026450146870652863,0.0,0.013628379616045834,0.02767453216595114,0.021199967305719138,False,False,1.0,0.2,0.2,0.2,0.2,0.2,1.2215993381579993e-16,0.0,0.5264776151081466,0.4735223848918532,3.610179831435773e-17,5.238963052292738e-16,5.893619940841323e-16,0.873420149452686,0.1265798505473121,8.297842894065012e-16,4.692338596855679e-16,0.0,0.6526712680106675,0.347328731989332,0.0
2020-01-31,2020-01-31,2020-02-29,Bull,Bull,True,Crisis,42,-4272.969540830274,1,799,1285,433,0.0006880476659560202,0.009075354393078855,0.3333333333333333,0.4848484848484848,0.1818181818181818,-0.03343609192831454,-0.009114654389886508,-0.010518536234096537,-0.008272986048577992,0.0,0.01631880881619029,1.001232955371985,0.2802809846057347,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,7.908199040015565e-17,0.0,0.5183182107000515,0.4816817892999482,1.512143900669354e-16,1.149141785780476e-16,0.0,0.37280367176669454,0.46191245588988633,0.1652838723434191,2.901430060191328e-16,1.3693705407383532e-16,0.5125307757078004,0.48746922429219913,9.823537876405256e-17
2020-02-28,2020-02-29,2020-03-31,Crisis,Crisis,True,Crisis,42,-4298.220893165805,2,813,1285,438,-0.0005467054583262718,0.015807366730537842,0.2142857142857142,0.2857142857142857,0.5,-0.07966259986055998,-0.031160900745023343,0.003578555982910239,-0.004642180429819952,0.0,0.030178460152432876,0.7456073435333891,0.48603147974433636,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,7.288009236779067e-16,0.0,0.503228980623835,0.49677101937616397,1.2401894072125502e-16,0.0,0.11494384270692112,6.281739660070838e-18,0.6809172241582316,0.2041389331348472,1.3653937842860003e-16,0.0579498302850747,0.26951503583563235,0.6191965562203067,0.053338577658986204
2020-03-31,2020-03-31,2020-04-30,Crisis,Crisis,True,Crisis,42,-3805.753552968804,2,826,1285,447,-0.0007640536365589348,0.01725206448425263,0.2,0.2666666666666666,0.5333333333333333,0.07191566567849567,0.06562762856092742,0.025742142496164133,0.04370511957114018,0.0,0.07542957534703663,0.23880831833420307,0.16993468089888983,False,False,1.0,0.2,0.2,0.2,0.2,0.2,0.0,5.216844044096764e-17,0.4655141929503176,0.5344858070496823,2.931336359567662e-17,1.1239285482865583e-16,0.11220460010245888,0.0,0.8003213833253331,0.08747401657220796,1.9406363488075283e-16,0.044957807321027166,0.2508782960092212,0.7041638966697515,5.795509364179587e-18
2020-04-30,2020-04-30,2020-05-31,Crisis,Crisis,True,Crisis,42,-3581.987695437231,2,901,1291,387,-0.001000533282390495,0.019544928292769437,0.1875,0.25,0.5625,0.025503925238489523,0.012961556904063136,-0.014811567954097882,-0.0033492354828559,0.0,0.006106790088013682,0.2387407089300253,0.15437272081737657,False,False,1.0,0.2,0.2,0.2,0.2,0.2,4.330879014987536e-17,1.4756307549395015e-16,0.4685675879943243,0.5314324120056755,0.0,8.465829358534645e-17,0.0,0.0,0.9196917377903457,0.08030826220965423,0.0,6.168180368221908e-17,0.21864974292156011,0.7813502570784397,6.936558370544269e-19
